institute_▲▼,opening_rank_▲▼,closing_rank_▲▼,category_▲▼,round_▲▼,program_▲▼,stream_▲▼,seat_type_▲▼,quota_▲▼
"College of Engineering and Management, Kolaghat",20280,105721,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Siliguri Institute of Technology, Siliguri",22075,110526,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",26404,79803,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Siliguri Institute of Technology, Siliguri",18156,104670,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",22255,44761,EWS,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Hooghly Engineering & Technology College, Hooghly",10086,109469,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",60507,109524,ST,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Cooch Behar Government Engineering College, Cooch Behar",17802,18638,OBC - B,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",11278,14736,SC,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Camellia Institute of Technology, Badu Road, Madhyamgram",107463,107463,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Haldia Institute of Technology, Haldia, Purba Medinipur",72950,100153,SC,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Heritage Institute of Technology, Kolkata",79075,175315,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Ideal Institute of Engineering, Kalyani",26769,99791,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
Jadavpur University,78597,78597,SC (PwD),Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Cooch Behar Government Engineering College, Cooch Behar",23630,35169,EWS,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engineering & Textile Technology, Serampore",16248,16427,Tuition Fee Waiver,Round 1,Apparel & Production Management (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,21718,32691,ST,Round 1,B.Pharm/Pharmaceutical Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Institute of Pharmacy, Jalpaiguri",3603,3902,OBC - B,Round 1,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State
Jadavpur University,63210,63210,SC (PwD),Round 1,B.Pharm/Pharmaceutical Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Institute of Pharmacy, Jalpaiguri",23330,29680,Open (PwD),Round 1,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State
"Institute of Pharmacy, Jalpaiguri",3372,6894,EWS,Round 1,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State
Jadavpur University,3152,11664,SC,Round 1,B.Pharm/Pharmaceutical Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,4017,4943,OBC - B,Round 1,B.Pharm/Pharmaceutical Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,4871,5403,EWS,Round 1,B.Pharm/Pharmaceutical Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Institute of Pharmacy, Jalpaiguri",7377,23002,ST,Round 1,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State
Jadavpur University,6831,8344,OBC - A,Round 1,B.Pharm/Pharmaceutical Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,2169,4505,Open,Round 1,B.Pharm/Pharmaceutical Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Institute of Pharmacy, Jalpaiguri",3845,6318,OBC - A,Round 1,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State
"Techno Main Salt Lake, Sector-V, Salt Lake",4482,5925,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Bengal College of Engineering & Technology, Durgapur",27382,27932,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jis College of Engineering, Kalyani, Nadia",10859,21956,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Rcc Institute of Information Technology, Kolkata",12800,13881,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",7596,8549,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Siliguri Institute of Technology, Siliguri",11620,26820,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Dr. B. C. Roy Engineering College, Durgapur",17370,18586,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Seacom Engineering College, Sankrail, Howrah",31121,31121,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Techno International New Town, Rajarhat, New Town",14273,17967,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,8298,9979,SC,Round 1,PRINTING ENGINEERING,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",13970,29342,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,4227,4472,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly",17709,34746,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Goverment College of Engineering and Leather Technology, Kolkata",3865,4060,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"B.P. Poddar Institute of Management & Technology, Kolkata",8060,12706,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Narula Institute of Technology, Agarpara, Kolkata",7409,9202,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",30110,38259,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Techno International Batanagar,9468,26320,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Hooghly Engineering & Technology College, Hooghly",12132,21721,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Mallabhum Institute of Technology, Bishnupur, Bankura",26118,37036,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",1323,1975,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,180,237,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",688,916,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Calcutta Institute of Technology, Uluberia, Howrah",18680,24235,Tuition Fee Waiver,Round 1,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",1921,2982,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Academy of Technology, Adisaptagram, Hooghly",14816,62534,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Bengal College of Engineering & Technology, Durgapur",265285,993601,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Budge Budge Institute of Technology, Budge-Budge",292108,1383428,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"College of Engineering and Management, Kolaghat",302995,1369171,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Dr. B. C. Roy Engineering College, Durgapur",32215,108250,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Dream Institute of Technology, Bishnupur, 24-Parganas-South",45023,45023,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Future Institute of Engineering & Management, Sonarpur",22888,107445,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Gargi Memorial Institute of Technology, Baruipur, Kolkata",17420,110148,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Haldia Institute of Technology, Haldia, Purba Medinipur",53194,53194,ST,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Heritage Institute of Technology, Kolkata",51552,51552,ST,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Institute of Science and Technology, Paschim Medinipur",293730,293730,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Murshidabad College of Engineering & Technology, Murshidabad",273528,1285878,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
Jadavpur University,9753,11078,ST,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",101581,101581,Open (PwD),Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"B.P. Poddar Institute of Management & Technology, Kolkata",15856,38974,Open,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Techno Main Salt Lake, Sector-V, Salt Lake",16297,26268,EWS,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engineering & Textile Technology, Serampore",13059,14644,OBC - A,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engineering & Textile Technology, Serampore",5173,6842,Open,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",3103,3582,EWS,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",5068,5979,OBC - A,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",60620,60620,OBC - B (PwD),Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Budge Budge Institute of Technology, Budge-Budge",472540,1060391,Open,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Institute of Science and Technology, Paschim Medinipur",586441,1241405,Open,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Mckv Institute of Engineering, Liluah, Howrah",32592,72389,Open,Round 1,Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Sister Nivedita University, New Town",49658,74401,Open,Round 1,COMPUTER SCIENCE AND APPLIED MATHEMATICS,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Sister Nivedita University, New Town",317473,1089951,Open,Round 1,COMPUTER SCIENCE AND APPLIED MATHEMATICS,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Kaji Nazrul University, Asansol",19009,19009,Tuition Fee Waiver,Round 1,Metallurgical And Materials Engineeringwith Tfw,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,674,816,Open,Round 1,Metallurgical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
Jadavpur University,53232,53232,Open (PwD),Round 1,Metallurgical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,1502,1760,OBC - B,Round 1,Metallurgical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,1619,1619,EWS,Round 1,Metallurgical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,5549,7973,SC,Round 1,Metallurgical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,29605,34065,ST,Round 1,Metallurgical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,879,1369,Open,Round 1,Metallurgical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,12551,17341,EWS,Round 1,COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Sister Nivedita University, New Town",38815,102588,Open,Round 1,COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Techno International New Town, Rajarhat, New Town",24827,109425,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Jis College of Engineering, Kalyani, Nadia",23029,106780,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Mckv Institute of Engineering, Liluah, Howrah",19175,78224,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly",21684,106271,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
University Of Calcutta,4072,4735,OBC - A,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,14846,18818,OBC - A,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,7374,12401,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",1565,2724,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Camellia Institute of Technology & Management, Bainchi, Hooghly",28896,28896,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Haldia Institute of Technology, Haldia, Purba Medinipur",3661,18687,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Hooghly Engineering & Technology College, Hooghly",16752,105935,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Mallabhum Institute of Technology, Bishnupur, Bankura",104909,104909,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"College of Engineering and Management, Kolaghat",277713,699425,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Heritage Institute of Technology, Kolkata",64874,126100,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Cooch Behar Government Engineering College, Cooch Behar",8285,15889,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Haldia Institute of Technology, Haldia, Purba Medinipur",60895,109784,SC,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",29639,36458,EWS,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Asansol Engineering College, Asansol, Burdwan",33697,106826,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"College of Engineering and Management, Kolaghat",36914,106565,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Govt. College of Engg. & Textile Technology, Berhampore",16541,26223,EWS,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",63684,81747,ST,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,511,761,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Adamas University, Barasat",14944,102305,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Cooch Behar Government Engineering College, Cooch Behar",16463,30327,EWS,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",4754,15992,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,320,369,EWS,Round 1,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,7315,8609,Open (PwD),Round 1,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,333,585,OBC - B,Round 1,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,128,280,Open,Round 1,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,598,1487,OBC - A,Round 1,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,758,1652,SC,Round 1,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,26,115,Open,Round 1,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
Jadavpur University,10527,15030,ST,Round 1,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,5207,8438,Tuition Fee Waiver,Round 1,COMPUTER SCIENCE & ENGINEERING (ROBOTICS AND ARTIFICIAL INTELLIGENCE) - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Swami Vivekananda University,246432,990337,Open,Round 1,Data Science,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Netaji Subhas Engineering College, Garia, Kolkata",38385,69187,Open,Round 1,Applied Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Bankura Unnayani Institute of Engineering, Bankura",32020,108793,Open,Round 1,Applied Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Techno International New Town, Rajarhat, New Town",326778,1234896,Open,Round 1,Applied Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Heritage Institute of Technology, Kolkata",40248,61531,EWS,Round 1,Applied Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Haldia Institute of Technology, Haldia, Purba Medinipur",99858,138176,Open,Round 1,Applied Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
